PALLAVI,2026_Excis_69759_1,Settlement,Services,Commisioner of Excise||Additional Commissioner of Taxes||Collector of Excise-Dhalai District,,"71,885",,"14,37,696",TRIPURA,Ambassa,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 17:30:00
PALLAVI,2026_Excis_69702_1,Settlement of Jamjuri CL Shop,Services,Commisioner of Excise||Additional Commissioner of Taxes||Collector of Excise-Gomati District,,"4,201",,"84,028",TRIPURA,Jamjuri,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 17:30:00
PALLAVI,2026_DIT_68779_1,"SELECTION OF AGENCY FOR DEVELOPMENT OF WEB-BASED AUDIT MANAGEMENT APPLICATION, AND USER SUPPORT FOR DIRECTORATE OF AUDIT, GOVT. OF TRIPURA",Services,Directorate of Information Technology,,"1,00,000",,,TRIPURA,Directorate of Information Technology,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 18:00:00
PALLAVI,2026_CERDD_70383_1,"Construction of RCC Foot bridge over Kufu Twisa at Bhaskra para of Haludia VC under Mungiakami RD Block , Teliamura RD Division, Khowai District (as per PWD SoR 2023).",Works,"Chief Engineer, Rural Development Department||Superintending Engineer Circle-1, CE, RDD||Executive Engineer Western Division-3",,"76,084",,"38,04,198",TRIPURA,As per DNIT,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,21-02-2026 15:00:00
PALLAVI,2026_CERDD_70378_1,"Hiring of various Machineries for construction of Bituminous Road works of R.D Teliamura Division (at different Blocks and Municipal Council areas) under MGNREGA scheme, Khowai District Tripura during the F.Y. 2025-26.",Services,"Chief Engineer, Rural Development Department||Superintending Engineer Circle-1, CE, RDD||Executive Engineer Western Division-3",,"40,000",,"20,00,000",TRIPURA,As per DNIT,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,21-02-2026 15:00:00
PALLAVI,2026_CEPWD_70404_1,"Maintenance of Internal Roads of Palace Compound Area under AMC Ward No 20 SH Brick Masonary Work, RCC Work etc",Works,"Chief Engineer, PWD (R and B)||SE, PWD (R and B), Second Circle||EE Agartala Division No I",,"1,68,422",,"84,21,111",TRIPURA,AGARTALA,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,21-02-2026 15:00:00
PALLAVI,2026_CERDD_70371_1,"Procurement of Bitumen and Bitumen emulsion for const. of bituminous road works under MGNREGA at different blocks, NP/Municipal Council areas of Khowai District under R.D Teliamura Division inc. carrying,loading,stackin to worksite during F.Y 2025-26",Works,"Chief Engineer, Rural Development Department||Superintending Engineer Circle-1, CE, RDD||Executive Engineer Western Division-3",,"40,000",,"20,00,000",TRIPURA,As per DNIT,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,21-02-2026 15:00:00
PALLAVI,2026_FISH_69469_2,Supply of above 10 cm size Major Carp Fingerling under different block and municipal area under Kumarghat Subdivision during 2026-27.,Goods,Directorate of Fisharies||Kumarghat Sub Division,,"60,000",,,TRIPURA,All block and municipal area under KGT Subdivision,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,21-02-2026 15:00:00
PALLAVI,2026_CEPWD_70344_1,Annual Maintenance Contract AMC incidental repair of Air Conditioning Machines were installed in the Amarpur Sub-Divisional Hospital Amarpur Gomati Tripura for the year 202526,Works,"Chief Engineer, PWD (R and B)||SE, PWD (R and B), Fourth Circle||EE PWD (R and B) Mechanical Division",,"8,151",,"4,07,568",TRIPURA,Agartala,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,21-02-2026 15:00:00
PALLAVI,2026_DDSE_70304_1,Repairing of 09 Nine nos Dysfunctional Toilet under Poangbari Block of South Tripura District for the year 2025-26.,Works,Director - Directorate of Secondary Education,,"27,000",,"13,50,000",TRIPURA,"Poangbari, South",Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,21-02-2026 16:00:00
PALLAVI,2026_Excis_69708_1,Settlement of Baikhora CL Shop for the financial year 2026-27 and 2027-28.,Services,Commisioner of Excise||Additional Commissioner of Taxes||Collector of Excise-South Tripura District,,"6,600",,"1,32,004",TRIPURA,As per DNIT,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,21-02-2026 17:30:00
PALLAVI,2026_Excis_69717_1,Settlement of Hrishyamukh CL Shop for the financial year 2026-27 and 2027-28.,Services,Commisioner of Excise||Additional Commissioner of Taxes||Collector of Excise-South Tripura District,,"4,356",,"87,120",TRIPURA,As per DNIT,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,21-02-2026 17:30:00
PALLAVI,2026_Excis_69722_1,"Settlement of Manubazar CL Shop,Sabroom for the financial year 2026-27 and 2027-28.",Services,Commisioner of Excise||Additional Commissioner of Taxes||Collector of Excise-South Tripura District,,"5,922",,"1,18,432",TRIPURA,As per DNIT,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,21-02-2026 17:30:00
PALLAVI,2026_NRHM_70508_1,"Decoration and related arrangement for ASHA convention at the indoor hall of International Fair and Exhibition ground Hapania, Agartala and supply of different items as mentioned in the NIT",Services,State Health and Family Welfare Society,,"75,000",,"25,00,000",TRIPURA,Agartala,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 11:00:00
PALLAVI,2026_CEPWD_70490_1,SH Patch Soling WBM Carpeting Seal coat pucca drain and other allied works,Works,"Chief Engineer, PWD (R and B)||SE, PWD (R and B), Fourth Circle||EE PWD (R and B) Sonamura Division",,"48,532",,"24,26,581",TRIPURA,Sonamura,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
PALLAVI,2026_CEPWD_70472_1,SH Patch Soling WBM Carpeting Seal coat pucca drain and other allied works,Works,"Chief Engineer, PWD (R and B)||SE, PWD (R and B), Fourth Circle||EE PWD (R and B) Sonamura Division",,"48,471",,"24,23,567",TRIPURA,Sonamura,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
PALLAVI,2026_CEPWD_70485_1,SH Patch Soling WBM Carpeting Seal coat pucca drain and other allied works,Works,"Chief Engineer, PWD (R and B)||SE, PWD (R and B), Fourth Circle||EE PWD (R and B) Sonamura Division",,"48,538",,"24,26,893",TRIPURA,Sonamura,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
PALLAVI,2026_CEWR_70414_1,Replacement of old centrifugal pump motor set at different L.I Schemes i) L.I Sindukpathar Annadhan Roaja Para ii)L.I Dinadhepa and iii) L.I Kaladhepa including allied works,Works,Chief Engineer PWD (WR)||Additional CE Agartala||EE WR Investigation Div Agartala||EE WRD IV Belonia,,"21,139",,,TRIPURA,"O/o The EE, WRD-IV, BLN",Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
PALLAVI,2026_CEPWD_70489_1,"Improvement of road from Nutan Bazaar to Ramsankar PWD road under 1-Simna Assembly Constituency during the year 2025-26 /SH GSB, WBM-II, WBM-III, Carpeting, Drain, CD, etc. (L-1.55 km)",Works,"Chief Engineer, PWD (R and B)||SE, PWD (R and B), Fourth Circle||EE PWD (R and B) Mohanpur Division",,"2,78,973",,"1,39,48,667",TRIPURA,Mohanpur,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
PALLAVI,2026_CEPWD_70493_1,SH Patch Soling WBM Carpeting Seal coat pucca drain and other allied works,Works,"Chief Engineer, PWD (R and B)||SE, PWD (R and B), Fourth Circle||EE PWD (R and B) Sonamura Division",,"48,523",,"24,26,160",TRIPURA,Sonamura,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
PALLAVI,2026_CEPWD_70479_1,SH Patch Soling WBM Carpeting Seal coat pucca drain and other allied works,Works,"Chief Engineer, PWD (R and B)||SE, PWD (R and B), Fourth Circle||EE PWD (R and B) Sonamura Division",,"48,501",,"24,25,073",TRIPURA,Sonamura,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
PALLAVI,2026_CEPWD_69953_1,Improvement of road from NH-8 to TRTC Para under Ambassa Division (Length - 4.107 km) (Under RIDF-XXXI of NABARD during the year 2025-26).,Works,"Chief Engineer, PWD (R and B)||SE, PWD (R and B), Fifth Circle||EE PWD (R and B) Ambassa Division",,"14,60,645",,"7,30,32,228",TRIPURA,Ambassa,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
PALLAVI,2026_CEPWD_70502_1,SH Patch WBM Grouting ReCarpeting and other allied works,Works,"Chief Engineer, PWD (R and B)||SE, PWD (R and B), Fourth Circle||EE PWD (R and B) Sonamura Division",,"48,506",,"24,25,294",TRIPURA,Sonamura,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
PALLAVI,2026_TTDC_69861_1,"Hiring of 01 (one) no. Maruti Suzuki EECO (Petrol run/ Petrol and CNG combined run) for office use of Assistant Engineer, TTDCL, Agartala.",Goods,Tripura Tourism Development Corporation Ltd,,"10,000",,,TRIPURA,"Swetmahal, Palace Compound, Agartala",Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
PALLAVI,2026_CEPWD_70497_1,"Improvement of road from Mailamura to Ramsankar para via Bakhla Para PWD road under 1-Simna Assembly Constituency during the year 2025-26 /SH GSB, WBM-II, WBM-III, Carpeting, Drain, etc. (L-1.40 km)",Works,"Chief Engineer, PWD (R and B)||SE, PWD (R and B), Fourth Circle||EE PWD (R and B) Mohanpur Division",,"2,77,453",,"1,38,72,655",TRIPURA,Mohanpur,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
PALLAVI,2026_CEPWD_70506_1,PR of road from North Taibandal to South Taibandal (Ch-9.8km to 10.9kmL-1.1km) (Total PR Length-1.1km) within Mohanbhog RD block during fy 2025 2026 SH Patch WBM Grouting ReCarpeting and other allied works,Works,"Chief Engineer, PWD (R and B)||SE, PWD (R and B), Fourth Circle||EE PWD (R and B) Sonamura Division",,"48,170",,"24,08,493",TRIPURA,Sonamura,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
PALLAVI,2026_CEPWD_70512_1,SH Patch WBM Grouting Recarpeting and allied works,Works,"Chief Engineer, PWD (R and B)||SE, PWD (R and B), Fourth Circle||EE PWD (R and B) Sonamura Division",,"48,515",,"24,25,735",TRIPURA,Sonamura,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
PALLAVI,2026_CEPWD_70509_1,"Improvement of road from Mailamura to Matia para during the year 2025-26 /SH GSB, WBM-II, WBM-III, Carpeting, Retaining wall, Drain, etc. (L-1.40 km)",Works,"Chief Engineer, PWD (R and B)||SE, PWD (R and B), Fourth Circle||EE PWD (R and B) Mohanpur Division",,"2,88,037",,"1,44,01,852",TRIPURA,Mohanpur,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
PALLAVI,2026_CEPWD_70514_1,SH Patch WBM Grouting Recarpeting and allied works,Works,"Chief Engineer, PWD (R and B)||SE, PWD (R and B), Fourth Circle||EE PWD (R and B) Sonamura Division",,"48,521",,"24,26,072",TRIPURA,Sonamura,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
PALLAVI,2026_CERDD_70511_1,CONSTRUCTION OF BLACK TOP ROAD FROM LA XMANJOY PARA JB SCHOOL TO SATIRAM PARA UNDER GONDATWISA DIVISION,Works,"Chief Engineer, Rural Development Department||Superintending Engineer - 4th Circle||Gonda Twisa Division",,"2,27,102",,,TRIPURA,Ganganagar,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
PALLAVI,2026_CERDD_70520_1,Construction of blacktop road from Purba Potachara Health Sub-Centre to Dhananjoy Tripura house at CK Para at East Potachhera VC under Gondatwisa Division,Works,"Chief Engineer, Rural Development Department||Superintending Engineer - 4th Circle||Gonda Twisa Division",,"3,32,681",,,TRIPURA,Raishyabari,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
PALLAVI,2026_CERDD_70518_1,Construction of blacktop road from Much Kumbhir PWD Black top road to Tarani Para under Gondatwisa Division,Works,"Chief Engineer, Rural Development Department||Superintending Engineer - 4th Circle||Gonda Twisa Division",,"3,01,306",,,TRIPURA,Gonda Twisa,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
PALLAVI,2026_CEPWD_70496_1,SH Patch WBM Grouting Recarpeting and allied works,Works,"Chief Engineer, PWD (R and B)||SE, PWD (R and B), Fourth Circle||EE PWD (R and B) Sonamura Division",,"48,528",,"24,26,420",TRIPURA,Sonamura,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
PALLAVI,2026_CERDD_70462_1,"Construction of Blacktop road from Ratandula PWD road Burama Gach to ITI PWD road via Ratandula JB School at Kalshmura GP, Boxanagar RD Block under Sonamura Division during FY 2025-26 (L- 1.3 km)",Works,"Chief Engineer, Rural Development Department||Superintending Engineer - 5th Circle||Sonamura Division",,"3,54,144",,"1,77,07,218",TRIPURA,Boxanagar,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
PALLAVI,2026_CEPWD_70202_1,Construction of 2 nos 300 seated temporary class rooms for AGMC and GBP Hospital during 2025-26,Works,"Chief Engineer, PWD (R and B)||SE PWD (R and B) Project Circle||EE Medical College Division",,"4,03,294",,"2,01,64,679",TRIPURA,"AGMC and GBP Hospital, Agartala",Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
PALLAVI,2026_CEWR_70200_1,"Construction of 48 Flood Protection /../ Anti-erosion work along the bank of different river and cherras at Ranirbazar Municipal Council and Jirania Nagar Panchayet area under PWD(WR), Jirania Sub-Division. (Phase-III) (L_1050 m).",Works,Chief Engineer PWD (WR)||SE Water Resource Circle No-I Agartala||EE Water Resource Division No-I Agartala,,"7,82,845",,"3,91,42,250",TRIPURA,WEST TRIPURA,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
PALLAVI,2026_OSDDS_70372_1,"Construction of Library Room at Indranagar High School, Sadar under West Tripura during 2025-26 Samagra Shiksha under Secondary Level",Works,Director - Directorate of Secondary Education||Dy Director - Directorate of Secondary Education||Stipend Sec - Directorate of Secondary Education||OSD - Directorate of Secondary Education,,"78,316",,"39,15,818",TRIPURA,West Tripura,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
PALLAVI,2026_Urban_70434_1,"Construction of Retaining Wall (L-50.00m) near the house of Sankar Chandra Das at ward No-05 , under Santirbazar Municipal Council",Works,Director (Urban Development Department)||Joint Director (Urban Development Department)||Santirbazar Municipal Council,,"15,791",,"15,79,191",TRIPURA,As per DNIT,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
PALLAVI,2026_Urban_70402_1,"Improvement of road from Mohamuni road to Sita Mog house and Mohamuni road to Madhu Mog house at Ward No.12, (L-0.080km) S/H- Earth Filling, Pelasiding, Brick Solling from ch 0.0km to 0.080km, under Santirbazar Municipal Council (2nd Call )",Works,Director (Urban Development Department)||Joint Director (Urban Development Department)||Santirbazar Municipal Council,,"1,877",,"1,87,740",TRIPURA,As per DNIT,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
PALLAVI,2026_DDSE_70400_1,"2nd call for Repairing of Inspector of Schools Office, Sadar, Kunjaban under West Tripura during the year 2025-26.",Works,Director - Directorate of Secondary Education,,"4,072",,"2,03,614",TRIPURA,"Kunjaban, Agartala",Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
PALLAVI,2026_Urban_70399_1,"Improvement of road from Maran Das house to Ankoi Mog house and Kunjabati Reang house via Sanjit Marak house at ward No.02 (L-0.250KM) S/H- Earth Filling, Brick Solling etc. under Santirbazar Municipal Council (2nd Call )",Works,Director (Urban Development Department)||Joint Director (Urban Development Department)||Santirbazar Municipal Council,,"6,637",,"6,63,734",TRIPURA,As per DNIT,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
PALLAVI,2026_Urban_70395_1,"Construction of Pucca drain from Enayet Ullah house to Sikha Sabar house at Ward No-02 (L-0.390KM), under Santirbazar Municipal Council ( 2nd Call )",Works,Director (Urban Development Department)||Joint Director (Urban Development Department)||Santirbazar Municipal Council,,"16,503",,"16,50,332",TRIPURA,As per DNIT,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
PALLAVI,2026_DDSE_70397_1,"Repairing and Renovation of 15(Fifteen) Dysfunctional BoysToilets in 9, 4 and 2 Schools under Rajnagar, B.C. Nagar and Jolaibari RD Blocks in South Tripura District for the year 2025-26.",Works,Director - Directorate of Secondary Education,,"45,000",,"22,50,000",TRIPURA,"Rajnagar, Jolaibari, BC ngr. south",Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
PALLAVI,2026_DDSE_70359_1,"Repairing of 15 Fifteen nos Dysfunctional Boys and GirlsToilet under Rajnagar, B.C. Nagar and Jolaibari RD Block of South Tripura District for the year 2025-26.",Works,Director - Directorate of Secondary Education,,"45,000",,"22,50,000",TRIPURA,"Rajnagar, Jolaibari, BC ngr. south",Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
PALLAVI,2026_CERDD_70422_1,Construction of Blacktop road from AA road to Nikhil Bhowmik house via Rajendra Nama at Ward-03 under RD Kumarghat Division during fy 2025-26.,Works,"Chief Engineer, Rural Development Department||Superintending Engineer Circle-3, CE, RDD||Executive Engineer Northern Division-1",,"1,92,844",,"96,42,221",TRIPURA,Dudhpur GP under Kumarght,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
PALLAVI,2026_Urban_70429_1,"Improvement of road from Dulal Chakraborty house to Manik Sharma house at ward No. 04, under Santirbazar Municipal Council, S/H - Pucca drain, Paver Block etc. (2nd Call)",Works,Director (Urban Development Department)||Joint Director (Urban Development Department)||Santirbazar Municipal Council,,"14,011",,"14,01,157",TRIPURA,As per DNIT,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
PALLAVI,2026_CEWR_70413_1,Providing and fitting fixing of different spare parts of horizontal and submerssible pump motor and other electrical equipments,Works,Chief Engineer PWD (WR)||Additional CE Agartala||EE WR Investigation Div Agartala||EE WRD IV Belonia,,"10,328",,,TRIPURA,"O/o The EE, WRD-IV, BLN",Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
PALLAVI,2026_CEWR_70412_1,Manufacturing and placing of C.C block of size 0.45 m x 0.45 m x0.30 m in/c allied works,Works,Chief Engineer PWD (WR)||Additional CE Agartala||EE WR Investigation Div Agartala||EE WRD IV Belonia,,"49,450",,,TRIPURA,"O/o The EE, WRD-IV, BLN",Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
PALLAVI,2026_Urban_70431_1,Improvement of road from Old Hospital road to Sankar Ch Das house at Ward No. 05 (L- 0.90km) / S.H- Brick Solling etc. under Santirbazar Municipal Council (2nd Call),Works,Director (Urban Development Department)||Joint Director (Urban Development Department)||Santirbazar Municipal Council,,"2,363",,"2,36,354",TRIPURA,As per DNIT,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
PALLAVI,2026_CEWR_70196_1,"Construction of 48 Flood Protection/../ Anti erosion work along the bank of different river and cherras at Ranirbazar Municipal Council and Jirania Nagar Panchayet area under PWD(WR), Jirania Sub-Division. (Phase-II) (L_900 Mtr.)",Works,Chief Engineer PWD (WR)||SE Water Resource Circle No-I Agartala||EE Water Resource Division No-I Agartala,,"8,67,332",,"4,33,66,583",TRIPURA,WEST TRIPURA,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
PALLAVI,2026_OSDDS_70425_1,Construction of Girls Toilet in 3 (Three) nos. school under Amarpur and Ampinagar Block of Gomati District under Samagra Shiksha for the year 2025-26/2nd Call,Works,Director - Directorate of Secondary Education||Dy Director - Directorate of Secondary Education||Stipend Sec - Directorate of Secondary Education||OSD - Directorate of Secondary Education,,"33,000",,"16,50,000",TRIPURA,"Amarpur and Ampinagar Block, Gomati District",Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
PALLAVI,2026_OSDDS_70424_1,Construction of Girls Toilet in 2 (Two) nos. school under Amarpur and Karbook Block of Gomati District under Samagra Shiksha for the year 2025-26/2nd Call,Works,Director - Directorate of Secondary Education||Dy Director - Directorate of Secondary Education||Stipend Sec - Directorate of Secondary Education||OSD - Directorate of Secondary Education,,"22,000",,"11,00,000",TRIPURA,"Amarpur and Karbook Block, Gomati District",Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
PALLAVI,2026_CEPWD_70426_1,Construction of mini open Community hall for public use at Ambedkarnagar GP under 50 Pabiacherra AC under BEUP Scheme during the year 2025 26,Works,"Chief Engineer, PWD (R and B)||SE, PWD (R and B), First Circle||EE PWD (R and B) Kumarghat Division",,"16,937",,"8,46,871",TRIPURA,Kumarghat,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
PALLAVI,2026_CEPWD_70354_1,Annual maintenance of High wall Cassette Vertical Split AC and Window AC system of College Building New S.S Building Animal Building Morgue Building Eye Building Blood Bank and other buildings under AGMC GBP Hospital Agartala Tripura for 01one year,Works,"Chief Engineer, PWD (R and B)||SE, PWD (R and B), Fourth Circle||EE PWD (R and B) Mechanical Division",,"23,286",,"11,64,291",TRIPURA,Agartala,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
PALLAVI,2026_OSDDS_70373_1,"Construction of 1(One) unit Additional Class Room at AARI ACADEMY ENG. MED. HIGH SCHOOL, Mandai Block under West Tripura during 2025-26 Samagra Shiksha under Secondary Level",Works,Director - Directorate of Secondary Education||Dy Director - Directorate of Secondary Education||Stipend Sec - Directorate of Secondary Education||OSD - Directorate of Secondary Education,,"58,661",,"29,33,050",TRIPURA,West Tripura,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
PALLAVI,2026_DDSE_70355_1,"Renovation of Toilet Block in 27 nos School under Satchand Block, Sabroom, South Tripura for the year 2025-26 under Samagra Shiksha Abhiyan Scheme",Works,Director - Directorate of Secondary Education,,"81,000",,"40,50,000",TRIPURA,"Satcchand, South Tripura",Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
PALLAVI,2026_CERDD_70432_1,"Construction of blacktop road from Shibu Prasad House to Bimal Shil at Bhabanipur GP, Kathalia RD Block under Sonamura Division during FY 2025-26 (L- 1.465 KM)",Works,"Chief Engineer, Rural Development Department||Superintending Engineer - 5th Circle||Sonamura Division",,"3,75,956",,"1,87,97,814",TRIPURA,Kathalia,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
PALLAVI,2026_CEPWD_70478_1,SH Patch Soling WBM Carpeting Seal coat pucca drain and other allied works,Works,"Chief Engineer, PWD (R and B)||SE, PWD (R and B), Fourth Circle||EE PWD (R and B) Sonamura Division",,"48,524",,"24,26,194",TRIPURA,Sonamura,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,23-02-2026 15:00:00
